Date,Description,Type,Location
2020-01-03,Qasem Soleimani death,Death,Iran
2020-01-30,WHO declares Covid-19 as global outbreak,Health,Global
2020-01-31,United Kingdom withdrawal from the European Union,Politics,UK
2020-02-05,Donald Trump acquitted of impeachment charges,Justice,USA
2020-03-11,WHO declares Covid-19 as global pandemic,Health,Global
2020-05-25,George Floyd death,Death,USA
2020-07-15,Twitter account hijacking and Bitcoin scam,Cybersecurity,Global
2020-08-09,Alexander Lukashenko wins Belarus election,Politics,Belarus
2020-09-15,Abraham Accords signed,Politics,USA
2020-11-07,Joe Biden wins US election,Politics,USA
2020-12-10,Pfizer Covid-19 vaccine,Health,Global
2020-12-17,Moderna & Janssen Covid-19 vaccine,Health,Global
2021-01-06,US Capitol attack,Politics,USA
2021-02-13,Donald Trump acquitted of impeachment charges v2,Justice,USA
2021-03-23,Suez Canal obstruction,Trade,Egypt
2021-06-22,LinkedIn scrapped data attack,Cybersecurity,Global
2021-08-15,Taliban take over Kabul,War,Afghanistan
2021-08-30,Withdrawing of US troops from Afghanistan,Politics,Afghanistan
2021-09-15,AUKUS deal,Politics,USA
2021-12-08,Angela Merkel steps down as Germany chancellor,Politics,Germany
2022-02-24,Russia invades Ukraine,War,Ukraine
2022-06-24,Roe v. Wade overturned,Justice,USA
2022-07-07,Boris Johnson announces resignation,Politics,UK
2022-08-20,Darya Dugina death,Death,Russia
2022-09-08,Queen Elizabeth II death,Death,UK
2022-09-16,Mahsa Amini death,Death,Iran
2022-09-26,Nord Stream pipeline sabotage,Trade,Central Baltic Sea
2022-10-28,Elon Musk buys Twitter,Tech,USA
2022-11-15,World population hits 8 billion,Culture,Global
2022-11-30,ChatGPT released,Tech,Global
2023-02-04,Chinese spy balloon shot down by US air force,War,USA
2023-04-15,Sudan civil war,War,Sudan
2023-05-27,MOVEit cyber attack,Cybersecurity,Global
2023-06-23,Wagner Group mutiny,War,Ukraine
2023-08-23,Yevgeny Prigozhin death,Death,Russia
2023-09-13,Mexican congress holds hearing on UFOs,Culture,Mexico
2023-10-07,Hamas attacks Israel,War,Israel
2023-11-29,Henry Kissinger death,Death,USA
2024-02-16,Alexei Navalny death,Death,Russia
2024-03-22,Crocus City Hall attack,Terrorism,Russia
2024-03-26,Francis Scott Key Bridge collapse,Trade,USA
2024-05-19,Iran President dies in helicopter crash,Death,Iran
